school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,16,U,GT3,A,3,2,services,at_home,home,mother,1,2,1,no,yes,no,no,yes,yes,yes,no,4,4,5,4,5,4,5,13,14,14
GP,F,18,U,GT3,T,3,2,other,services,home,mother,1,3,0,no,no,yes,yes,yes,yes,yes,yes,4,2,2,1,1,1,2,12,11,13
GP,F,15,U,GT3,T,1,1,at_home,teacher,course,mother,4,2,1,no,yes,no,yes,yes,yes,no,yes,3,2,3,1,3,2,15,3,7,8
GP,M,15,U,GT3,T,4,4,teacher,services,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,5,5,4,1,1,5,0,15,16,16
GP,F,18,R,LE3,T,4,4,health,other,home,mother,2,1,0,no,no,yes,yes,yes,yes,no,no,2,4,5,3,5,4,2,8,6,-2
GP,M,16,U,LE3,T,4,4,other,other,course,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,3,1,3,4,3,15,16,17
GP,M,18,R,GT3,T,3,3,other,other,reputation,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,3,3,4,2,3,2,13,11,12
GP,F,20,U,LE3,T,4,4,services,health,home,other,1,1,0,no,yes,yes,yes,yes,yes,yes,yes,5,1,2,1,1,2,3,15,16,16
GP,M,15,R,GT3,T,1,2,at_home,other,course,mother,1,4,0,yes,no,yes,yes,yes,yes,yes,no,4,4,5,2,3,3,10,8,10,9
GP,M,18,U,GT3,A,0,0,at_home,other,reputation,mother,1,2,1,yes,no,no,no,no,no,yes,no,4,1,2,1,1,1,11,8,10,11
GP,F,17,R,LE3,T,2,2,health,other,home,mother,3,2,0,no,no,yes,no,yes,yes,yes,no,4,3,4,1,1,3,6,6,5,6
GP,M,17,R,GT3,T,3,1,services,other,other,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,3,4,1,1,4,2,6,15,13,14
GP,F,16,U,LE3,T,2,1,other,other,course,mother,1,1,0,no,yes,no,no,yes,yes,no,yes,4,5,2,2,2,2,13,9,7,7
GP,F,17,U,GT3,T,3,3,other,other,home,mother,1,2,1,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,1,4,13,10,10,11
GP,F,16,U,LE3,T,4,4,health,services,reputation,father,2,1,2,no,yes,no,yes,yes,yes,yes,no,2,5,4,1,2,5,9,7,7,7
GP,F,15,U,GT3,A,4,3,other,other,home,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,5,4,3,1,1,2,6,5,6,4
GP,F,17,R,GT3,T,2,1,at_home,other,course,mother,2,2,3,no,yes,no,yes,yes,yes,yes,no,2,4,5,2,4,5,1,4,4,-2
MS,M,17,R,GT3,A,3,4,other,other,course,mother,2,2,0,no,no,yes,no,yes,yes,yes,no,5,2,2,1,2,5,1,14,14,14
GP,F,15,U,GT3,T,1,1,other,other,home,mother,2,1,0,no,no,no,no,yes,yes,yes,yes,4,5,4,1,1,3,1,6,6,6
MS,F,18,U,GT3,T,1,1,services,other,course,mother,2,2,0,no,yes,no,no,no,yes,no,yes,5,5,5,2,3,2,6,8,8,9
GP,F,16,U,GT3,T,2,1,other,other,home,mother,1,2,3,yes,no,no,no,yes,yes,yes,no,5,2,2,1,1,3,6,6,7,8
GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,2,3,1,1,3,2,7,9,9
GP,M,17,U,GT3,T,2,1,at_home,other,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,2,1,1,4,4,13,13,15
GP,M,18,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,yes,yes,yes,no,yes,yes,no,4,5,4,3,5,1,3,16,14,15
GP,F,15,U,GT3,T,2,2,services,services,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,1,5,3,6,8,9
GP,M,16,U,LE3,A,4,4,services,other,home,mother,1,2,0,no,no,yes,yes,no,yes,yes,no,2,2,5,1,1,5,7,11,12,12
GP,M,18,U,GT3,T,2,1,services,services,other,mother,1,1,1,no,no,yes,no,yes,yes,yes,no,5,4,5,5,5,4,3,7,9,9
GP,F,17,U,GT3,A,2,2,services,other,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,no,yes,4,3,1,1,1,5,7,8,7,7
GP,F,15,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,no,5,3,4,3,3,1,7,8,11,11
GP,F,16,U,LE3,A,3,2,other,health,other,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,4,3,1,1,1,5,13,10,9,9
GP,F,17,U,GT3,T,1,2,at_home,other,reputation,father,1,3,0,no,yes,yes,no,yes,yes,yes,no,5,2,4,1,1,3,1,13,12,12
GP,F,16,U,GT3,T,2,2,at_home,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,yes,4,3,2,1,2,1,14,12,11,11
GP,M,16,U,GT3,T,4,3,other,services,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,4,3,1,10,9,12
GP,F,18,U,GT3,T,4,3,teacher,other,course,mother,2,3,1,no,no,yes,no,yes,no,yes,no,3,3,2,1,2,5,3,5,-2,-2
GP,F,17,R,GT3,T,2,3,services,other,home,mother,1,1,3,no,no,no,no,yes,yes,yes,no,3,5,3,1,2,1,18,4,3,3
GP,M,15,U,GT3,T,4,4,teacher,other,course,father,2,2,1,no,no,no,no,yes,yes,yes,yes,5,2,2,1,1,2,3,13,13,13
MS,F,18,R,LE3,T,2,4,at_home,other,home,other,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,11,10,10
GP,F,16,U,GT3,T,3,1,services,other,course,mother,2,4,0,yes,no,yes,yes,yes,yes,yes,yes,3,3,5,4,4,2,7,10,10,10
GP,M,15,U,GT3,T,1,1,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,no,no,4,2,1,1,2,2,10,9,7,7
GP,M,17,U,GT3,T,3,3,services,teacher,course,father,1,1,0,yes,yes,no,yes,no,yes,no,no,2,1,5,2,4,2,50,17,13,12
GP,M,19,R,GT3,T,4,4,teacher,other,reputation,other,3,1,0,yes,yes,no,yes,yes,yes,yes,yes,5,4,3,1,3,4,2,10,10,9
GP,F,16,U,GT3,A,2,2,other,at_home,course,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,3,3,3,1,3,3,7,6,7,7
GP,M,18,U,GT3,T,4,4,teacher,other,reputation,father,1,2,0,no,no,yes,yes,yes,yes,no,no,4,2,3,1,1,2,11,16,15,15
GP,F,17,U,GT3,T,4,3,services,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,1,1,1,5,3,12,13,13
GP,F,16,U,GT3,A,2,1,other,other,reputation,father,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,2,1,1,3,0,11,13,14
GP,F,18,U,LE3,T,4,2,services,teacher,course,father,2,2,2,no,yes,no,no,yes,yes,yes,yes,4,2,2,1,1,5,2,10,8,-2
GP,M,19,U,GT3,T,1,1,other,services,course,other,1,2,0,no,yes,yes,no,yes,no,yes,no,4,3,4,1,1,5,13,8,9,9
GP,M,19,R,GT3,T,1,1,other,at_home,home,mother,1,1,3,no,yes,no,no,yes,no,yes,no,4,4,5,1,2,4,2,6,1,1
GP,F,18,U,GT3,T,2,3,other,other,home,mother,2,2,0,no,yes,yes,yes,no,yes,yes,no,4,2,5,2,3,2,11,13,12,12
GP,M,17,R,GT3,T,2,3,services,teacher,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,3,8,15,15,15
MS,M,18,R,LE3,T,2,2,at_home,services,reputation,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,5,2,5,2,29,18,19,20
GP,M,18,U,GT3,T,3,3,other,other,reputation,other,1,2,1,no,yes,no,yes,yes,yes,yes,yes,3,2,4,2,4,4,0,10,9,9
GP,M,15,U,LE3,T,1,1,other,other,course,father,1,1,0,no,no,yes,yes,no,yes,yes,yes,4,3,3,1,1,4,1,9,1,1
GP,M,18,U,GT3,T,4,2,other,teacher,home,father,1,3,0,no,yes,no,no,yes,yes,yes,yes,3,3,4,1,3,2,7,16,15,15
GP,M,16,U,LE3,T,2,4,other,other,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,3,3,1,3,3,12,14,15,15
GP,F,15,U,LE3,T,2,3,services,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,no,yes,5,3,5,1,1,4,7,8,9,9
MS,M,17,U,GT3,A,3,3,other,other,other,father,1,2,1,yes,no,no,yes,yes,yes,yes,no,5,3,4,1,1,1,4,11,14,14
GP,F,16,U,GT3,T,4,4,teacher,services,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,4,3,2,2,2,12,11,12,12
GP,M,15,R,GT3,A,2,2,services,teacher,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,5,1,1,1,5,3,16,17,17
GP,F,18,U,GT3,T,4,3,teacher,services,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,5,3,4,1,1,2,0,5,2,-2
GP,F,16,R,LE3,T,2,4,other,other,home,father,1,2,1,yes,yes,no,yes,yes,yes,yes,yes,3,3,3,1,2,3,25,5,8,9
GP,F,16,R,GT3,T,1,3,other,other,reputation,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,3,2,3,2,3,6,5,6
GP,M,16,U,LE3,T,4,4,teacher,other,reputation,mother,1,3,0,yes,yes,no,yes,yes,yes,no,yes,4,2,5,1,1,2,13,12,10,10
GP,M,15,R,GT3,T,4,4,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,4,5,4,1,4,4,6,10,11,11
GP,F,18,U,GT3,T,3,3,services,services,other,father,1,2,2,no,yes,yes,no,no,yes,yes,yes,4,2,5,2,4,5,15,4,4,6
GP,M,17,R,GT3,A,3,2,other,services,course,father,2,2,3,no,yes,no,yes,yes,yes,yes,yes,4,4,4,1,4,3,2,6,9,8
GP,M,17,U,LE3,T,3,3,teacher,services,course,other,1,2,2,no,yes,yes,no,yes,yes,yes,no,3,2,2,2,5,2,2,8,9,1
GP,F,18,U,GT3,T,1,1,at_home,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,5,4,1,2,4,6,13,12,12
GP,M,15,R,GT3,T,4,4,other,other,other,mother,4,1,0,no,no,yes,no,yes,yes,yes,no,3,3,5,3,5,1,5,11,14,14
MS,F,18,U,GT3,T,2,3,at_home,other,course,mother,1,3,0,no,no,no,yes,yes,yes,no,no,4,4,4,1,2,4,1,8,8,-2
GP,F,16,U,LE3,T,1,1,services,at_home,course,mother,1,2,1,no,yes,no,no,no,yes,no,yes,4,3,3,1,2,3,4,7,5,-2
GP,M,17,U,LE3,T,2,2,other,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,5,3,1,2,5,15,10,10,9
GP,M,17,U,GT3,T,4,4,teacher,teacher,reputation,mother,1,2,0,yes,yes,no,no,yes,yes,no,yes,4,2,2,1,3,2,11,12,10,10
GP,F,18,U,GT3,A,3,2,other,other,reputation,mother,2,4,0,no,yes,no,yes,yes,yes,yes,no,4,2,5,2,3,1,15,15,15,15
GP,F,17,U,GT3,T,2,2,other,services,course,mother,1,2,1,no,yes,no,yes,yes,yes,yes,no,4,1,3,1,3,4,12,9,8,8
GP,M,15,U,GT3,T,4,2,health,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,2,1,1,5,0,16,17,16
GP,M,17,R,GT3,T,4,4,other,other,home,mother,2,1,0,no,yes,no,no,no,yes,no,no,4,1,5,2,4,4,1,7,6,1
GP,M,18,U,LE3,T,3,1,other,other,home,mother,1,4,0,no,yes,yes,yes,no,yes,yes,no,4,2,4,2,2,4,11,16,15,15
GP,M,18,U,GT3,T,3,3,services,services,course,mother,2,3,0,no,yes,yes,yes,yes,yes,no,no,4,4,1,2,3,2,4,11,11,1
GP,F,18,U,GT3,T,2,2,other,other,home,other,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,3,3,5,4,12,10,9
GP,M,15,U,LE3,T,4,4,services,other,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,4,4,1,1,5,5,17,19,19
GP,F,16,U,GT3,T,4,4,services,other,course,mother,2,1,1,no,no,yes,yes,yes,yes,yes,no,3,1,4,1,3,3,4,16,16,16
GP,M,17,R,GT3,T,1,1,other,other,course,father,1,2,1,yes,no,no,no,yes,yes,yes,yes,4,3,4,1,4,5,1,13,14,15
GP,F,16,U,GT3,T,1,4,other,services,other,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,5,3,3,1,1,2,5,11,11,12
GP,F,16,U,GT3,T,3,4,health,other,reputation,mother,1,3,0,no,no,no,yes,yes,yes,yes,yes,5,2,3,1,1,2,6,11,11,12
GP,M,19,U,GT3,T,1,1,other,services,home,other,1,1,2,no,yes,yes,yes,yes,yes,no,no,4,4,4,2,4,5,20,10,10,10
GP,F,15,U,GT3,T,2,1,at_home,other,course,mother,1,1,3,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,1,1,1,6,-2,-2
MS,F,19,R,LE3,T,4,2,services,services,home,mother,1,3,1,no,yes,no,no,no,yes,yes,yes,4,4,2,1,2,3,2,5,3,-2
GP,M,18,U,GT3,T,2,2,services,services,reputation,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,2,4,1,2,2,2,0,11,11,1
GP,F,17,U,GT3,T,2,3,services,other,course,mother,1,3,0,no,no,yes,yes,yes,yes,yes,no,4,4,3,1,3,1,0,9,8,8
MS,M,18,U,GT3,T,4,4,other,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,3,2,1,1,3,7,16,15,15
GP,F,17,U,GT3,T,2,1,other,other,course,father,1,1,0,yes,no,yes,yes,yes,yes,no,yes,4,3,4,1,3,5,4,10,12,12
GP,F,17,U,LE3,T,3,2,at_home,services,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,1,1,1,9,7,6
GP,F,16,U,LE3,T,1,1,other,other,course,mother,2,2,0,no,yes,no,yes,yes,yes,no,no,3,3,2,1,1,2,10,6,5,4
MS,M,18,U,LE3,T,4,3,other,services,course,mother,1,3,0,no,yes,yes,yes,yes,no,yes,no,4,3,2,1,2,5,3,10,13,12
GP,M,19,R,GT3,T,3,2,other,services,reputation,other,1,2,1,no,no,no,yes,yes,no,no,yes,4,5,3,3,4,5,3,16,13,13
MS,F,18,R,GT3,T,2,1,services,services,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,4,3,1,1,3,1,12,10,10
GP,M,16,U,GT3,T,2,2,services,other,home,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,1,3,9,8,1
GP,M,16,U,GT3,T,3,2,services,other,home,mother,1,1,1,no,yes,yes,no,yes,yes,no,no,3,4,4,1,1,5,4,8,8,1
GP,F,18,U,GT3,T,4,4,teacher,services,home,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,3,4,1,1,1,5,15,12,11,11
GP,M,16,U,GT3,T,2,4,at_home,at_home,course,mother,1,1,1,no,yes,yes,no,yes,yes,yes,no,4,4,3,1,2,5,3,15,14,13
GP,M,18,R,GT3,T,4,2,health,other,reputation,father,1,1,0,yes,yes,no,yes,yes,yes,yes,no,4,4,2,1,2,3,11,13,13,13
GP,M,16,U,GT3,T,1,2,other,teacher,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,4,4,1,12,13,13
GP,F,15,U,GT3,T,2,4,other,other,reputation,mother,1,2,0,no,yes,yes,no,no,yes,yes,yes,4,3,3,3,3,4,5,5,7,5
GP,M,16,U,GT3,T,4,4,health,services,other,mother,1,2,0,no,no,no,no,yes,yes,yes,no,5,4,3,1,1,3,6,14,15,15
GP,M,19,R,GT3,T,1,1,at_home,health,home,other,1,2,1,no,yes,no,no,yes,yes,yes,yes,4,4,4,5,5,3,13,16,14,14
GP,M,15,U,GT3,T,4,1,other,other,reputation,mother,1,2,0,yes,yes,no,no,yes,yes,yes,yes,4,5,5,1,4,2,12,12,9,10
GP,M,16,U,GT3,T,2,2,services,services,other,mother,2,2,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,1,5,2,13,14,14
GP,M,16,U,GT3,T,4,3,teacher,teacher,home,mother,1,2,0,no,yes,no,yes,no,yes,yes,no,1,4,2,1,1,4,13,17,17,17
GP,F,17,R,GT3,T,2,2,health,services,home,father,2,2,0,no,no,yes,no,no,yes,yes,no,4,1,3,3,3,5,40,6,6,6
GP,M,15,U,LE3,T,4,3,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,5,3,1,1,3,6,19,20,20
MS,M,18,R,GT3,T,4,2,health,other,home,mother,1,2,0,no,yes,yes,no,no,no,yes,no,3,2,3,1,2,5,5,15,13,12
GP,F,18,U,GT3,T,1,1,other,other,reputation,mother,3,1,1,no,yes,no,yes,yes,yes,yes,no,2,1,2,1,1,5,1,4,7,-2
GP,M,19,U,LE3,T,1,2,services,other,reputation,other,2,2,1,no,no,yes,yes,no,yes,yes,yes,4,1,5,1,4,4,41,14,12,12
GP,F,16,U,GT3,T,2,4,services,services,course,other,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,4,1,1,3,5,1,6,8,9
GP,M,16,U,LE3,T,3,2,other,teacher,course,mother,1,2,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,2,12,13,13
GP,M,18,R,GT3,T,3,2,other,other,course,father,2,1,0,no,yes,no,no,yes,yes,yes,yes,5,2,2,1,2,3,23,14,13,14
GP,F,16,U,GT3,A,4,3,services,services,home,mother,2,2,0,no,yes,yes,no,yes,yes,no,no,4,4,4,1,1,3,3,11,11,11
GP,M,15,U,GT3,T,4,4,teacher,services,course,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,5,3,5,5,9,12,14,14
GP,M,17,U,GT3,T,4,2,teacher,services,course,father,2,1,0,yes,no,yes,yes,yes,yes,no,yes,4,3,5,2,4,5,23,9,13,14
GP,M,16,U,LE3,T,3,4,services,services,reputation,other,1,2,1,no,yes,no,no,yes,yes,yes,yes,5,2,4,1,1,4,1,8,1,1
GP,M,16,R,GT3,T,4,4,teacher,services,reputation,mother,2,1,0,no,no,yes,no,yes,yes,yes,no,5,3,2,1,1,3,31,9,8,9
GP,F,16,U,GT3,A,3,4,services,at_home,home,mother,2,2,1,no,yes,yes,no,yes,yes,yes,yes,4,3,2,1,1,5,7,10,10,11
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,5,4,4,3,4,5,1,16,17,17
MS,F,18,U,GT3,T,1,1,services,services,reputation,mother,1,3,0,yes,yes,no,no,yes,yes,yes,no,4,2,2,1,1,3,12,9,10,9
GP,M,17,U,GT3,T,4,3,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,1,1,5,1,10,11,13
GP,M,15,R,GT3,T,2,2,services,services,course,mother,1,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,1,1,2,5,4,9,11,12
GP,F,15,U,GT3,T,4,3,health,services,course,father,2,1,0,no,no,no,no,yes,yes,no,yes,5,3,3,1,1,3,2,8,9,8
